,Batch,Fenotype,Fish,hist,bins
21,batch 3,KO44,ZebraF_7,0.005322328996582591,0.6666666666666666
21,batch 3,KO44,ZebraF_7,0.820714805157505,0.75
21,batch 3,KO44,ZebraF_7,0.02023057820507146,0.8333333333333333
21,batch 3,KO44,ZebraF_7,0.43437258762405895,0.9166666666666666
22,batch 3,KO44,ZebraF_8,1.164669185059052,0.0
22,batch 3,KO44,ZebraF_8,0.3293269841157619,0.08333333333333333
22,batch 3,KO44,ZebraF_8,0.39321959114028604,0.16666666666666666
22,batch 3,KO44,ZebraF_8,0.6834997139738673,0.25
22,batch 3,KO44,ZebraF_8,0.4258118118400754,0.3333333333333333
22,batch 3,KO44,ZebraF_8,0.2626485202727198,0.41666666666666663
22,batch 3,KO44,ZebraF_8,0.4452761896996404,0.5
22,batch 3,KO44,ZebraF_8,0.3569687944563881,0.5833333333333333
22,batch 3,KO44,ZebraF_8,1.1077713289031235,0.6666666666666666
22,batch 3,KO44,ZebraF_8,2.6901811843010193,0.75
22,batch 3,KO44,ZebraF_8,3.303966882639683,0.8333333333333333
22,batch 3,KO44,ZebraF_8,0.8366598135983829,0.9166666666666666
23,batch 3,KO44,ZebraF_9,0.09198474364867938,0.0
23,batch 3,KO44,ZebraF_9,0.00487182943839714,0.08333333333333333
23,batch 3,KO44,ZebraF_9,0.0035147082585721113,0.16666666666666666
23,batch 3,KO44,ZebraF_9,7.2037670236448745,0.25
23,batch 3,KO44,ZebraF_9,4.267450665014084,0.3333333333333333
23,batch 3,KO44,ZebraF_9,0.020704817996232344,0.41666666666666663
23,batch 3,KO44,ZebraF_9,0.02235149087600594,0.5
23,batch 3,KO44,ZebraF_9,0.034725591567840254,0.5833333333333333
23,batch 3,KO44,ZebraF_9,0.03893509450687217,0.6666666666666666
23,batch 3,KO44,ZebraF_9,0.03422737549569813,0.75
23,batch 3,KO44,ZebraF_9,0.13793148610553604,0.8333333333333333
23,batch 3,KO44,ZebraF_9,0.1395351734472112,0.9166666666666666
24,batch 3,WT,ZebraF_1,18,0.0
24,batch 3,WT,ZebraF_1,2.0623951002418357,0.08333333333333333
24,batch 3,WT,ZebraF_1,1.5836925816646843,0.16666666666666666
24,batch 3,WT,ZebraF_1,1.3380031443367055,0.25
24,batch 3,WT,ZebraF_1,0.46297748802857874,0.3333333333333333
24,batch 3,WT,ZebraF_1,0.29999601788922975,0.41666666666666663
24,batch 3,WT,ZebraF_1,0.5335297070444224,0.5
24,batch 3,WT,ZebraF_1,0.7294138463941533,0.5833333333333333
24,batch 3,WT,ZebraF_1,0.20211020789313375,0.6666666666666666
24,batch 3,WT,ZebraF_1,0.4435119755200627,0.75
24,batch 3,WT,ZebraF_1,0.5817951447441163,0.8333333333333333
24,batch 3,WT,ZebraF_1,0.07764404241578263,0.9166666666666666
25,batch 3,WT,ZebraF_10,15,0.0
25,batch 3,WT,ZebraF_10,2.4256199803603615,0.08333333333333333
25,batch 3,WT,ZebraF_10,2.4208279405223183,0.16666666666666666
25,batch 3,WT,ZebraF_10,1.4819724095047029,0.25
25,batch 3,WT,ZebraF_10,0.858710017149825,0.3333333333333333
25,batch 3,WT,ZebraF_10,0.3383702541192233,0.41666666666666663
25,batch 3,WT,ZebraF_10,0.34221454424121084,0.5
25,batch 3,WT,ZebraF_10,1.748859354992136,0.5833333333333333
25,batch 3,WT,ZebraF_10,0.10906666624972135,0.6666666666666666
25,batch 3,WT,ZebraF_10,0.0,0.75
25,batch 3,WT,ZebraF_10,0.0,0.8333333333333333
25,batch 3,WT,ZebraF_10,0.0,0.9166666666666666
26,batch 3,WT,ZebraF_11,17,0.0
26,batch 3,WT,ZebraF_11,1.0390212133749046,0.08333333333333333
26,batch 3,WT,ZebraF_11,0.7004295036174124,0.16666666666666666
26,batch 3,WT,ZebraF_11,0.5503836317740424,0.25
26,batch 3,WT,ZebraF_11,0.6379716481091535,0.3333333333333333
26,batch 3,WT,ZebraF_11,1.0783889190797704,0.41666666666666663
26,batch 3,WT,ZebraF_11,0.6102852217462789,0.5
26,batch 3,WT,ZebraF_11,0.6394165185738226,0.5833333333333333
26,batch 3,WT,ZebraF_11,1.2772998026931772,0.6666666666666666
26,batch 3,WT,ZebraF_11,1.80510384458157,0.75
26,batch 3,WT,ZebraF_11,0.8781968598836083,0.8333333333333333
26,batch 3,WT,ZebraF_11,0.555388659808446,0.9166666666666666
27,batch 3,WT,ZebraF_12,8,0.0
27,batch 3,WT,ZebraF_12,0.8183164335304659,0.08333333333333333
27,batch 3,WT,ZebraF_12,1.4124925561992667,0.16666666666666666
27,batch 3,WT,ZebraF_12,1.7871406238143606,0.25
27,batch 3,WT,ZebraF_12,1.3681754532094907,0.3333333333333333
27,batch 3,WT,ZebraF_12,1.533591824947088,0.41666666666666663
27,batch 3,WT,ZebraF_12,1.552635065351782,0.5
27,batch 3,WT,ZebraF_12,1.184837854390866,0.5833333333333333
27,batch 3,WT,ZebraF_12,0.8342376538206856,0.6666666666666666
27,batch 3,WT,ZebraF_12,0.45833346300140865,0.75
27,batch 3,WT,ZebraF_12,0.2636634787597628,0.8333333333333333
27,batch 3,WT,ZebraF_12,0.37193182166598765,0.9166666666666666
28,batch 3,WT,ZebraF_2,21,0.0
28,batch 3,WT,ZebraF_2,1.5347172949992578,0.08333333333333333
28,batch 3,WT,ZebraF_2,0.951351933437042,0.16666666666666666
28,batch 3,WT,ZebraF_2,0.6830340450682826,0.25
28,batch 3,WT,ZebraF_2,0.34991725223443865,0.3333333333333333
28,batch 3,WT,ZebraF_2,0.2680283716813406,0.41666666666666663
28,batch 3,WT,ZebraF_2,0.08038677759453818,0.5
28,batch 3,WT,ZebraF_2,0.05280206998283016,0.5833333333333333
28,batch 3,WT,ZebraF_2,0.0,0.6666666666666666
28,batch 3,WT,ZebraF_2,0.011232045346246214,0.75
28,batch 3,WT,ZebraF_2,0.013423555412509704,0.8333333333333333
